Name,ISIN,Bought,Price,Amount,Fees
BioNTech,US09075V1026,12/17/2021,-250.7,4,-15.21
BioNTech,US09075V1026,11/09/2021,-219.2,10,-15.21
Teamviewer,DE000A2YN900,10/08/2021,-16.4950,62,-13.72
Carl Zeiss Meditec,DE0005313704,10/11/2021,-162.0,7,-13.72
Lufthansa AG,DE0008232125,10/11/2021,-5.804,172,-14.19
CompuGroup Medical SE,DE000A288904,10/13/2021,-70.8,15,-14.19
Linde PLC Registered Shares EO,IE00BZ12WP82,10/13/2021,-257.55,4,-13.59
Royal Dutch Shell Reg.Sh.A,US7802592060,10/13/2021,-40.8,25,-15.67
Crowdstrike Holdings Inc,US22788C1053,10/22/2021,-244.55,4,-9.97
Fortinet,US34959E1091,12/03/2021,-278.9,4,-13.5
CVS Health Corp. Registered Shares DL-,US1266501006,12/03/2021,-79.98,13,-13.7
Royal Dutch Shell,US7802592060,10/11/2021,-40.8,25,-15.67
IshsII-Gl.Clean Energy U.ETF Registered Shares,E00B1XNHC34,10/25/2021,-11.6,86,-13.59
Rize Medical Cann.,IE00BJXRZ273,01/05/2022,-4.9805,10,-1.25
Rize Medical Cann.,IE00BJXRZ273,12/07/2021,-4.601,11,-1.25
Rize Medical Cann.,IE00BJXRZ273,11/05/2021,-5.962,8,-1.25
Rize Medical Cann.,IE00BJXRZ273,10/24/2021,-5.731,8,-1.25
RIZE ICAV-R.CYB.SEC.+D.PRV.ETF,IE00BJXRZJ40,12/06/2021,-6.249,8,-1.25
RIZE ICAV-R.CYB.SEC.+D.PRV.ETF,IE00BJXRZJ40,11/05/2021,-7.118,7,-1.25
RIZE ICAV-R.CYB.SEC.+D.PRV.ETF,IE00BJXRZJ40,10/24/2021,-6.789,7,-1.25
RIZE ICAV-R.CYB.SEC.+D.PRV.ETF,IE00BJXRZJ40,01/05/2022,-6.464,8,-1.25
Société Générale Effekten GmbH,DE000SH15754,02/03/2022,-128.05,8,-11.44